Date,Account,Region,Service,ResourceId,UsageType,UsageAmount,UsageUnit,Cost,Currency,Operation,API,AvailabilityZone,PurchaseOption,MeterId,Project,Environment,Tags,BillingPeriod,InvoiceId
2025-06-06,acct-1003,ap-south-1,EC2,ec2-4099,GB-Months,311.446,hours,26.0647,USD,DescribeInstances,REST,eu-west-1a,Spot,MID67487,projB,dev,Unknown,2025-06-01,INV828257
2025-03-04,acct-1001,us-west-2,DynamoDB,dynamodb-6265,TimedStorage-ByteHrs,482.963,requests,84.1649,USD,PutObject,SDK,eu-west-1a,Reserved,MID86732,projA,dev,owner:devops,2025-03-01,INV666107
2025-07-10,acct-1001,us-west-2,ECR,ecr-1561,Requests,486.731,GB,89.2403,USD,DescribeInstances,SDK,us-west-2a,Reserved,MID89026,projB,prod,owner:devops,2025-07-01,INV501974
2025-01-04,acct-1001,ap-northeast-1,SNS,sns-1852,Requests,797.684,requests,38.3705,USD,RunInstances,REST,us-west-2a,Spot,MID46059,projA,prod,Unknown,2025-01-01,INV849744
2025-06-26,acct-1003,eu-west-1,Lambda,lambda-4657,BoxUsage,620.991,requests,71.9035,USD,PutObject,SDK,us-east-1a,Spot,MID82185,projB,dev,Unknown,2025-06-01,INV218477
2025-01-29,acct-1001,ap-south-1,DynamoDB,dynamodb-1246,TimedStorage-ByteHrs,351.487,requests,52.4875,USD,DescribeInstances,SDK,eu-west-1a,Spot,MID93721,projC,staging,costcenter:42,2025-01-01,INV143043
2025-01-15,acct-1003,ap-northeast-1,S3,s3-4182,BoxUsage,227.94,GB,35.8844,USD,Invoke,SDK,us-west-2a,Spot,MID14014,projC,prod,team:alpha,2025-01-01,INV318289
2025-08-08,acct-1001,us-east-1,EKS,eks-1184,GB-Months,857.406,requests,151.0194,USD,Invoke,REST,eu-west-1a,Spot,MID56350,projA,prod,costcenter:42,2025-08-01,INV330259
2025-05-19,acct-1002,ap-northeast-1,EC2,ec2-3305,BoxUsage,187.157,hours,20.5652,USD,Invoke,REST,us-east-1b,OnDemand,MID85464,projA,prod,owner:devops,2025-05-01,INV979785
2025-06-07,acct-1002,us-east-1,DynamoDB,dynamodb-1167,TimedStorage-ByteHrs,247.153,requests,24.5435,USD,GetObject,REST,us-east-1b,OnDemand,MID73935,projB,staging,owner:devops,2025-06-01,INV353835
2025-01-03,acct-1001,us-west-2,CloudFront,cloudfront-4345,Requests,157.639,requests,49.07377651006711,USD,RunInstances,SDK,us-east-1b,Reserved,MID85978,projA,dev,Unknown,2025-01-01,INV460404
2025-10-17,acct-1001,us-east-1,SQS,sqs-7475,Requests,768.042,requests,49.07377651006711,USD,GetObject,CLI,eu-west-1a,OnDemand,MID95161,projA,dev,costcenter:42,2025-10-01,INV758202
2025-08-21,acct-1001,ap-south-1,SQS,sqs-4148,TimedStorage-ByteHrs,419.786,requests,48.6382,USD,GetObject,CLI,us-east-1b,Reserved,MID44629,projB,prod,costcenter:42,2025-08-01,INV594647
2025-09-28,acct-1003,ap-south-1,EKS,eks-2387,Requests,76.061,requests,49.07377651006711,USD,RunInstances,REST,us-east-1a,OnDemand,MID18096,projA,prod,Unknown,2025-09-01,INV337965
2025-02-06,acct-1001,us-west-2,SQS,sqs-2031,DataTransfer-Out,287.888,requests,18.1115,USD,RunInstances,SDK,us-east-1b,Reserved,MID76677,projC,dev,Unknown,2025-02-01,INV108928
2025-04-05,acct-1003,us-west-2,EC2,ec2-2537,Requests,930.323,hours,150.3033,USD,GetObject,REST,us-east-1b,Reserved,MID10458,projB,dev,team:alpha,2025-04-01,INV396922
2025-04-07,acct-1003,ap-south-1,EKS,eks-4814,TimedStorage-ByteHrs,422.427,requests,44.534,USD,PutObject,SDK,us-west-2a,OnDemand,MID25482,projA,prod,team:alpha,2025-04-01,INV974292
2025-06-16,acct-1003,ap-south-1,DynamoDB,dynamodb-8211,Requests,209.551,requests,2.0252,USD,DescribeInstances,REST,us-east-1a,Reserved,MID96129,projC,prod,Unknown,2025-06-01,INV996628
2025-08-13,acct-1002,us-east-1,EKS,eks-1116,GB-Months,467.202,requests,38.5014,USD,RunInstances,SDK,us-east-1b,OnDemand,MID67702,projB,prod,costcenter:42,2025-08-01,INV259119
2025-10-10,acct-1001,us-east-1,DynamoDB,dynamodb-7217,DataTransfer-Out,676.429,requests,9.6533,USD,GetObject,CLI,us-west-2a,OnDemand,MID20621,projC,dev,team:alpha,2025-10-01,INV634494
2025-03-05,acct-1001,us-east-1,S3,s3-9680,DataTransfer-Out,895.792,GB,105.033,USD,GetObject,REST,us-east-1b,Reserved,MID60232,projB,dev,costcenter:42,2025-03-01,INV265404
2025-03-26,acct-1001,eu-west-1,SQS,sqs-4416,TimedStorage-ByteHrs,363.841,requests,31.2704,USD,PutObject,SDK,us-east-1b,OnDemand,MID85457,projC,prod,team:alpha,2025-03-01,INV176022
2025-06-15,acct-1003,ap-northeast-1,CloudFront,cloudfront-2148,DataTransfer-Out,997.314,requests,76.5492,USD,PutObject,SDK,us-east-1b,Reserved,MID21275,projA,staging,owner:devops,2025-06-01,INV617937
2025-10-15,acct-1001,us-east-1,EKS,eks-5287,TimedStorage-ByteHrs,101.367,requests,18.9199,USD,GetObject,CLI,us-east-1b,OnDemand,MID79811,projC,prod,costcenter:42,2025-10-01,INV946651
2025-01-08,acct-1001,us-west-2,EKS,eks-2717,Requests,163.559,requests,16.1495,USD,GetObject,SDK,us-east-1a,Spot,MID87198,projB,dev,Unknown,2025-01-01,INV942068
2025-08-10,acct-1001,ap-south-1,Lambda,lambda-9809,DataTransfer-Out,975.891,requests,154.4753,USD,PutObject,CLI,eu-west-1a,Spot,MID69509,projC,prod,team:alpha,2025-08-01,INV578007
2025-04-04,acct-1002,us-west-2,EC2,ec2-4716,BoxUsage,343.312,hours,48.613,USD,RunInstances,CLI,eu-west-1a,Reserved,MID97597,projC,staging,costcenter:42,2025-04-01,INV963348
2025-06-15,acct-1002,eu-west-1,SNS,sns-9490,GB-Months,565.898,requests,100.2406,USD,Invoke,REST,eu-west-1a,Spot,MID98703,projC,prod,team:alpha,2025-06-01,INV524772
2025-02-09,acct-1003,us-west-2,EC2,ec2-4760,DataTransfer-Out,211.582,hours,16.0649,USD,RunInstances,SDK,us-east-1b,OnDemand,MID25523,projB,prod,Unknown,2025-02-01,INV384449
2025-03-18,acct-1002,eu-west-1,EC2,ec2-1093,Requests,131.439,hours,14.3243,USD,DescribeInstances,SDK,us-west-2a,Spot,MID62551,projC,dev,costcenter:42,2025-03-01,INV911122
2025-07-07,acct-1003,ap-south-1,DynamoDB,dynamodb-4827,GB-Months,702.58,requests,49.07377651006711,USD,PutObject,SDK,eu-west-1a,Spot,MID29396,projC,prod,Unknown,2025-07-01,INV151452
2025-01-13,acct-1003,ap-northeast-1,DynamoDB,dynamodb-1543,BoxUsage,213.418,requests,27.0569,USD,GetObject,SDK,us-east-1a,OnDemand,MID86311,projB,prod,team:alpha,2025-01-01,INV280703
2025-07-30,acct-1002,eu-west-1,EKS,eks-5474,TimedStorage-ByteHrs,351.119,requests,67.5352,USD,RunInstances,REST,us-west-2a,Reserved,MID80637,projC,prod,owner:devops,2025-07-01,INV196330
2025-01-16,acct-1001,eu-west-1,SQS,sqs-3572,Requests,492.311,requests,78.1091,USD,PutObject,REST,us-east-1a,OnDemand,MID74499,projA,prod,team:alpha,2025-01-01,INV454495
2025-03-04,acct-1001,ap-northeast-1,EC2,ec2-2901,BoxUsage,367.966,hours,72.719,USD,PutObject,SDK,us-east-1b,Spot,MID52482,projC,staging,costcenter:42,2025-03-01,INV518526
2025-08-15,acct-1002,us-west-2,EKS,eks-3881,Requests,641.416,requests,59.3943,USD,RunInstances,SDK,us-east-1a,OnDemand,MID82147,projA,prod,team:alpha,2025-08-01,INV913846
2025-10-02,acct-1001,ap-south-1,CloudFront,cloudfront-4805,Requests,997.601,requests,18.4133,USD,Invoke,SDK,us-east-1b,Reserved,MID84497,projC,prod,team:alpha,2025-10-01,INV150745
2025-04-17,acct-1001,ap-northeast-1,SNS,sns-6385,Requests,928.604,requests,49.07377651006711,USD,Invoke,REST,us-east-1b,OnDemand,MID68824,projA,staging,team:alpha,2025-04-01,INV786472
2025-10-16,acct-1001,eu-west-1,S3,s3-4053,DataTransfer-Out,153.07,GB,49.07377651006711,USD,PutObject,SDK,eu-west-1a,Reserved,MID98632,projA,prod,owner:devops,2025-10-01,INV611885
2025-01-05,acct-1001,us-west-2,RDS,rds-8944,GB-Months,149.142,requests,16.4113,USD,DescribeInstances,REST,us-east-1a,OnDemand,MID52063,projA,dev,owner:devops,2025-01-01,INV231401
2025-04-13,acct-1001,ap-south-1,EKS,eks-8633,DataTransfer-Out,260.037,requests,36.5234,USD,PutObject,REST,eu-west-1a,Spot,MID22264,projB,dev,costcenter:42,2025-04-01,INV801546
2025-03-30,acct-1003,eu-west-1,RDS,rds-8062,TimedStorage-ByteHrs,88.583,requests,8.6709,USD,RunInstances,CLI,us-east-1a,Spot,MID96336,projC,dev,owner:devops,2025-03-01,INV516398
2025-07-15,acct-1001,ap-south-1,CloudFront,cloudfront-2042,DataTransfer-Out,949.983,requests,87.8943,USD,Invoke,SDK,us-west-2a,Spot,MID57843,projA,dev,owner:devops,2025-07-01,INV465036
2025-09-14,acct-1003,us-west-2,S3,s3-8795,DataTransfer-Out,459.2524352941177,GB,49.07377651006711,USD,DescribeInstances,REST,us-east-1a,Reserved,MID11052,projA,staging,owner:devops,2025-09-01,INV286960
2025-02-07,acct-1003,ap-northeast-1,DynamoDB,dynamodb-1466,TimedStorage-ByteHrs,839.831,requests,58.3755,USD,DescribeInstances,SDK,us-east-1b,Reserved,MID53408,projB,staging,Unknown,2025-02-01,INV684849
2025-05-03,acct-1003,ap-northeast-1,SQS,sqs-6549,BoxUsage,656.815,requests,4.9901,USD,PutObject,SDK,eu-west-1a,Reserved,MID52389,projB,staging,costcenter:42,2025-05-01,INV115688
2025-02-02,acct-1001,ap-south-1,ECR,ecr-4410,GB-Months,843.63,GB,24.7538,USD,RunInstances,CLI,us-west-2a,OnDemand,MID25850,projA,dev,team:alpha,2025-02-01,INV213702
2025-01-04,acct-1003,us-east-1,ECR,ecr-6511,TimedStorage-ByteHrs,261.768,GB,14.277,USD,Invoke,CLI,eu-west-1a,Spot,MID47212,projC,staging,owner:devops,2025-01-01,INV307836
2025-01-18,acct-1003,us-west-2,RDS,rds-2941,BoxUsage,47.781,requests,3.2553,USD,GetObject,CLI,us-east-1b,Reserved,MID76380,projB,staging,Unknown,2025-01-01,INV515698
2025-09-06,acct-1001,us-west-2,Lambda,lambda-8495,GB-Months,809.477,requests,135.4762,USD,Invoke,REST,eu-west-1a,OnDemand,MID34972,projC,staging,costcenter:42,2025-09-01,INV859605
2025-05-10,acct-1001,ap-northeast-1,S3,s3-3010,Requests,587.287,GB,6.5944,USD,RunInstances,REST,us-east-1b,Reserved,MID33971,projC,dev,costcenter:42,2025-05-01,INV970564
2025-10-02,acct-1003,us-east-1,DynamoDB,dynamodb-4055,DataTransfer-Out,451.566,requests,56.4188,USD,GetObject,REST,us-east-1a,OnDemand,MID52072,projB,prod,team:alpha,2025-10-01,INV713544
2025-06-15,acct-1003,us-east-1,DynamoDB,dynamodb-5506,BoxUsage,45.912,requests,8.8614,USD,PutObject,SDK,eu-west-1a,Spot,MID94226,projB,prod,team:alpha,2025-06-01,INV785027
2025-02-07,acct-1002,us-east-1,RDS,rds-1444,DataTransfer-Out,33.82,requests,6.5887,USD,GetObject,CLI,eu-west-1a,Spot,MID91476,projA,dev,team:alpha,2025-02-01,INV899019
2025-10-13,acct-1002,ap-northeast-1,EKS,eks-3432,DataTransfer-Out,55.31,requests,3.6414,USD,RunInstances,CLI,us-east-1a,Reserved,MID35016,projC,prod,Unknown,2025-10-01,INV654447
2025-05-24,acct-1001,eu-west-1,SQS,sqs-5660,GB-Months,627.879,requests,115.8322,USD,PutObject,REST,us-east-1a,Reserved,MID59391,projB,prod,team:alpha,2025-05-01,INV202134
2025-03-29,acct-1001,eu-west-1,EKS,eks-4457,TimedStorage-ByteHrs,876.221,requests,106.8737,USD,Invoke,CLI,us-east-1a,Spot,MID34223,projC,staging,Unknown,2025-03-01,INV452126
2025-06-03,acct-1001,ap-south-1,RDS,rds-8120,TimedStorage-ByteHrs,459.2524352941177,requests,109.7208,USD,RunInstances,SDK,us-east-1a,Reserved,MID55813,projA,prod,owner:devops,2025-06-01,INV897144
2025-10-18,acct-1001,eu-west-1,DynamoDB,dynamodb-6894,BoxUsage,454.277,requests,72.995,USD,RunInstances,CLI,eu-west-1a,OnDemand,MID64450,projC,prod,Unknown,2025-10-01,INV510875
2025-06-26,acct-1002,eu-west-1,S3,s3-9002,DataTransfer-Out,753.92,GB,45.344,USD,RunInstances,CLI,us-east-1a,Spot,MID49892,projB,dev,costcenter:42,2025-06-01,INV139147
2025-01-02,acct-1001,us-west-2,EKS,eks-8633,TimedStorage-ByteHrs,253.315,requests,18.0025,USD,PutObject,SDK,us-west-2a,Reserved,MID98235,projA,staging,owner:devops,2025-01-01,INV334419
2025-02-09,acct-1003,eu-west-1,S3,s3-2900,BoxUsage,768.95,GB,128.5699,USD,Invoke,SDK,us-west-2a,OnDemand,MID55222,projB,dev,team:alpha,2025-02-01,INV231976
2025-10-13,acct-1001,ap-south-1,RDS,rds-9671,DataTransfer-Out,375.659,requests,17.7196,USD,RunInstances,REST,us-east-1a,OnDemand,MID59221,projA,staging,Unknown,2025-10-01,INV742176
2025-03-04,acct-1002,us-east-1,S3,s3-6402,GB-Months,639.349,GB,49.07377651006711,USD,Invoke,REST,eu-west-1a,OnDemand,MID22319,projB,prod,team:alpha,2025-03-01,INV360954
2025-04-21,acct-1003,us-east-1,Lambda,lambda-8083,Requests,579.258,requests,49.07377651006711,USD,RunInstances,REST,us-east-1a,Reserved,MID90457,projB,staging,costcenter:42,2025-04-01,INV244954
2025-07-27,acct-1002,eu-west-1,SQS,sqs-9536,DataTransfer-Out,406.361,requests,23.0488,USD,RunInstances,CLI,us-west-2a,Reserved,MID21352,projC,staging,Unknown,2025-07-01,INV367750
2025-06-14,acct-1002,eu-west-1,DynamoDB,dynamodb-4073,GB-Months,352.531,requests,29.9398,USD,PutObject,REST,us-east-1a,Reserved,MID87775,projA,dev,owner:devops,2025-06-01,INV684781
2025-08-06,acct-1002,us-east-1,EKS,eks-8391,Requests,6.916,requests,0.49,USD,GetObject,CLI,eu-west-1a,OnDemand,MID75372,projC,prod,costcenter:42,2025-08-01,INV223002
2025-10-14,acct-1003,eu-west-1,EC2,ec2-3622,GB-Months,395.361,hours,38.9688,USD,DescribeInstances,CLI,us-east-1b,Spot,MID74964,projC,staging,team:alpha,2025-10-01,INV174694
2025-02-26,acct-1002,us-east-1,DynamoDB,dynamodb-4057,GB-Months,833.615,requests,40.6097,USD,PutObject,REST,us-west-2a,OnDemand,MID11765,projB,prod,Unknown,2025-02-01,INV885088
2025-03-20,acct-1002,us-east-1,CloudFront,cloudfront-3614,Requests,331.667,requests,51.5241,USD,PutObject,REST,us-east-1b,OnDemand,MID37876,projB,dev,owner:devops,2025-03-01,INV939634
2025-04-18,acct-1001,ap-northeast-1,CloudFront,cloudfront-8657,TimedStorage-ByteHrs,960.616,requests,107.1926,USD,DescribeInstances,CLI,us-west-2a,Spot,MID15131,projC,dev,owner:devops,2025-04-01,INV432431
2025-07-15,acct-1001,eu-west-1,ECR,ecr-4331,GB-Months,931.159,GB,69.9102,USD,Invoke,CLI,us-east-1a,Spot,MID98269,projB,staging,owner:devops,2025-07-01,INV998688
2025-04-28,acct-1003,us-west-2,RDS,rds-4234,DataTransfer-Out,459.2524352941177,requests,49.07377651006711,USD,Invoke,SDK,us-east-1a,Spot,MID22915,projB,dev,owner:devops,2025-04-01,INV474772
2025-01-21,acct-1002,us-east-1,ECR,ecr-3230,DataTransfer-Out,484.417,GB,39.2761,USD,GetObject,SDK,us-east-1a,OnDemand,MID42356,projA,staging,team:alpha,2025-01-01,INV554153
2025-06-10,acct-1003,ap-south-1,SNS,sns-5034,BoxUsage,554.754,requests,68.8824,USD,GetObject,SDK,us-west-2a,Spot,MID30533,projC,staging,owner:devops,2025-06-01,INV556550
2025-05-18,acct-1002,ap-south-1,SNS,sns-2095,GB-Months,495.19,requests,39.495,USD,RunInstances,CLI,us-west-2a,OnDemand,MID41531,projB,prod,team:alpha,2025-05-01,INV680069
2025-04-03,acct-1002,ap-south-1,S3,s3-5633,BoxUsage,191.785,GB,33.89,USD,Invoke,REST,us-east-1b,Spot,MID50891,projA,prod,Unknown,2025-04-01,INV540172
2025-05-26,acct-1002,us-west-2,CloudFront,cloudfront-8192,Requests,486.186,requests,93.9395,USD,RunInstances,CLI,us-east-1b,OnDemand,MID94295,projB,dev,owner:devops,2025-05-01,INV856666
2025-01-25,acct-1003,ap-northeast-1,EKS,eks-4935,GB-Months,277.667,requests,49.07377651006711,USD,RunInstances,SDK,eu-west-1a,Spot,MID67726,projB,prod,costcenter:42,2025-01-01,INV416852
2025-02-08,acct-1001,us-east-1,CloudFront,cloudfront-3454,GB-Months,725.71,requests,18.7823,USD,DescribeInstances,SDK,us-west-2a,Spot,MID49848,projA,staging,team:alpha,2025-02-01,INV503352
2025-05-12,acct-1003,ap-northeast-1,SNS,sns-5498,TimedStorage-ByteHrs,888.322,requests,147.3967,USD,RunInstances,SDK,us-east-1b,Spot,MID67192,projC,dev,owner:devops,2025-05-01,INV745309
2025-02-21,acct-1001,ap-northeast-1,ECR,ecr-4628,BoxUsage,433.557,GB,36.1475,USD,PutObject,REST,us-east-1a,Reserved,MID84985,projA,prod,owner:devops,2025-02-01,INV804184
2025-09-24,acct-1001,eu-west-1,DynamoDB,dynamodb-1573,GB-Months,678.604,requests,49.07377651006711,USD,Invoke,CLI,eu-west-1a,Reserved,MID60023,projB,staging,Unknown,2025-09-01,INV811782
2025-08-11,acct-1002,ap-south-1,CloudFront,cloudfront-6149,BoxUsage,111.36,requests,6.7222,USD,PutObject,CLI,eu-west-1a,OnDemand,MID98973,projC,staging,costcenter:42,2025-08-01,INV545779
2025-05-02,acct-1003,ap-south-1,EKS,eks-4131,BoxUsage,13.356,requests,1.5052,USD,DescribeInstances,REST,eu-west-1a,OnDemand,MID50842,projB,prod,costcenter:42,2025-05-01,INV653983
2025-03-11,acct-1003,us-east-1,CloudFront,cloudfront-9018,DataTransfer-Out,656.129,requests,32.715,USD,PutObject,CLI,us-east-1b,Spot,MID81760,projB,prod,Unknown,2025-03-01,INV864849
2025-10-15,acct-1003,ap-northeast-1,RDS,rds-8945,DataTransfer-Out,223.491,requests,23.0212,USD,Invoke,SDK,us-east-1b,Reserved,MID50249,projA,dev,Unknown,2025-10-01,INV889651
2025-05-28,acct-1001,us-east-1,SQS,sqs-8001,Requests,895.695,requests,46.0624,USD,PutObject,CLI,us-east-1a,OnDemand,MID81415,projC,staging,owner:devops,2025-05-01,INV218020
2025-03-27,acct-1002,us-east-1,DynamoDB,dynamodb-2085,Requests,618.043,requests,62.8389,USD,RunInstances,SDK,us-east-1a,Reserved,MID79085,projC,prod,team:alpha,2025-03-01,INV338261
2025-02-09,acct-1001,us-west-2,S3,s3-8634,GB-Months,763.497,GB,49.07377651006711,USD,Invoke,CLI,us-west-2a,Spot,MID10023,projA,staging,Unknown,2025-02-01,INV600670
2025-09-01,acct-1003,us-east-1,SQS,sqs-6946,BoxUsage,802.194,requests,141.3353,USD,PutObject,SDK,us-east-1b,Reserved,MID37524,projA,staging,costcenter:42,2025-09-01,INV879530
2025-01-15,acct-1003,ap-northeast-1,S3,s3-4182,BoxUsage,227.94,GB,49.07377651006711,USD,Invoke,SDK,us-west-2a,Spot,MID14014,projC,prod,team:alpha,2025-01-01,INV318289
2025-05-29,acct-1002,us-west-2,EC2,ec2-8429,GB-Months,902.626,hours,131.0113,USD,RunInstances,SDK,us-east-1b,Spot,MID77943,projB,dev,owner:devops,2025-05-01,INV676670
2025-02-19,acct-1001,ap-northeast-1,DynamoDB,dynamodb-8049,BoxUsage,207.041,requests,40.0417,USD,Invoke,SDK,us-west-2a,Reserved,MID89677,projA,prod,costcenter:42,2025-02-01,INV300085
2025-10-27,acct-1001,ap-south-1,SNS,sns-3982,Requests,482.171,requests,50.5186,USD,PutObject,REST,us-east-1b,Reserved,MID58288,projA,prod,Unknown,2025-10-01,INV556654
2025-06-24,acct-1001,us-west-2,CloudFront,cloudfront-6489,Requests,982.049,requests,119.3737,USD,RunInstances,CLI,us-east-1b,OnDemand,MID23673,projB,staging,Unknown,2025-06-01,INV392321
2025-01-29,acct-1001,us-east-1,SNS,sns-7682,BoxUsage,607.561,requests,49.07377651006711,USD,DescribeInstances,REST,us-east-1b,OnDemand,MID28579,projB,staging,Unknown,2025-01-01,INV731170
2025-04-09,acct-1001,eu-west-1,S3,s3-6787,BoxUsage,233.211,GB,43.3081,USD,RunInstances,CLI,eu-west-1a,Reserved,MID14584,projA,prod,Unknown,2025-04-01,INV306094
